Codigo/ Materia/ Creditos/ Tipologia/ Semestre/ Prerrequisitos/ 
1000188/ materia 188/ 3/ LE/ 2/ 1000010/ 
1000189/ materia 189/ 4/ LE/ 2/ 1000039/ 
1000190/ materia 190/ 2/ LE/ 2/ 1000068/ 
1000191/ materia 191/ 5/ LE/ 2/ 1000046/ 
1000192/ materia 192/ 4/ LE/ 2/ 1000057/ 
1000193/ materia 193/ 3/ LE/ 2/ 1000113/ 
1000194/ materia 194/ 3/ LE/ 2/ 1000153/ 
1000195/ materia 195/ 2/ LE/ 2/ 1000039/ 
1000196/ materia 196/ 2/ LE/ 2/ 1000188/ 
1000197/ materia 197/ 4/ LE/ 2/ 1000161/ 
1000198/ materia 198/ 4/ LE/ 2/ 1000030/ 
1000199/ materia 199/ 1/ LE/ 2/ 1000027/ 
1000200/ materia 200/ 5/ LE/ 2/ 1000038/ 
1000201/ materia 201/ 3/ LE/ 3/ 1000034/ 
1000202/ materia 202/ 3/ LE/ 3/ 1000179/ 
1000203/ materia 203/ 2/ LE/ 3/ 1000186/ 
1000204/ materia 204/ 5/ LE/ 3/ 1000169/ 
1000205/ materia 205/ 5/ LE/ 3/ 1000049/ 
1000206/ materia 206/ 3/ LE/ 3/ 1000077/ 
1000207/ materia 207/ 2/ LE/ 3/ 1000206/ 
1000208/ materia 208/ 5/ LE/ 3/ 1000192/ 
1000209/ materia 209/ 2/ LE/ 3/ 1000095/ 
1000210/ materia 210/ 1/ LE/ 3/ 1000094/ 
1000211/ materia 211/ 1/ LE/ 3/ 1000191/ 
1000212/ materia 212/ 3/ LE/ 3/ 1000048/ 
1000213/ materia 213/ 5/ LE/ 3/ 1000121/ 
1000214/ materia 214/ 3/ LE/ 3/ 1000192/ 
1000215/ materia 215/ 5/ LE/ 3/ 1000159/ 
1000216/ materia 216/ 1/ LE/ 3/ 1000150/ 
1000217/ materia 217/ 3/ LE/ 3/ 1000036/ 
1000218/ materia 218/ 2/ LE/ 3/ 1000212/ 
1000219/ materia 219/ 2/ LE/ 3/ 1000152/ 
1000220/ materia 220/ 3/ LE/ 3/ 1000215/ 
1000221/ materia 221/ 2/ LE/ 3/ 1000034/ 
1000222/ materia 222/ 3/ LE/ 3/ 1000191/ 
1000223/ materia 223/ 3/ LE/ 3/ 1000116/ 
1000224/ materia 224/ 1/ LE/ 3/ 1000210/ 
1000225/ materia 225/ 2/ LE/ 3/ 1000062/ 
1000226/ materia 226/ 1/ LE/ 3/ 1000048/ 
1000227/ materia 227/ 4/ LE/ 3/ 1000015/ 
1000228/ materia 228/ 4/ LE/ 3/ 1000032/ 
1000229/ materia 229/ 3/ LE/ 3/ 1000136/ 
1000230/ materia 230/ 4/ LE/ 3/ 1000146/ 
1000231/ materia 231/ 5/ LE/ 3/ 1000174/ 
1000232/ materia 232/ 3/ LE/ 3/ 1000081/ 
1000233/ materia 233/ 1/ LE/ 3/ 1000002/ 
1000234/ materia 234/ 5/ LE/ 3/ 1000041/ 
1000235/ materia 235/ 2/ LE/ 3/ 1000016/ 
1000236/ materia 236/ 4/ LE/ 3/ 1000008/ 
1000237/ materia 237/ 1/ LE/ 3/ 1000175/ 
1000238/ materia 238/ 3/ LE/ 3/ 1000202/ 
1000239/ materia 239/ 2/ LE/ 3/ 1000022/ 
1000240/ materia 240/ 3/ LE/ 3/ 1000208/ 
1000241/ materia 241/ 5/ LE/ 3/ 1000202/ 
1000242/ materia 242/ 1/ LE/ 3/ 1000028/ 
1000243/ materia 243/ 1/ LE/ 3/ 1000237/ 
1000244/ materia 244/ 5/ LE/ 3/ 1000054/ 
1000245/ materia 245/ 5/ LE/ 3/ 1000167/ 
1000246/ materia 246/ 5/ LE/ 3/ 1000096/ 
1000247/ materia 247/ 1/ LE/ 3/ 1000111/ 
1000248/ materia 248/ 1/ LE/ 3/ 1000169/ 
1000249/ materia 249/ 1/ LE/ 3/ 1000120/ 
1000250/ materia 250/ 4/ LE/ 3/ 1000134/ 
1000251/ materia 251/ 1/ LE/ 3/ 1000082/ 
1000252/ materia 252/ 2/ LE/ 3/ 1000133/ 
1000253/ materia 253/ 5/ LE/ 3/ 1000195/ 
1000254/ materia 254/ 4/ LE/ 3/ 1000096/ 
1000255/ materia 255/ 5/ LE/ 3/ 1000252/ 
1000256/ materia 256/ 1/ LE/ 3/ 1000061/ 
1000257/ materia 257/ 2/ LE/ 3/ 1000235/ 
1000258/ materia 258/ 5/ LE/ 3/ 1000049/ 
1000259/ materia 259/ 3/ LE/ 3/ 1000234/ 
1000260/ materia 260/ 1/ LE/ 3/ 1000003/ 
1000261/ materia 261/ 3/ LE/ 3/ 1000158/ 
1000262/ materia 262/ 5/ LE/ 3/ 1000052/ 
1000263/ materia 263/ 3/ LE/ 3/ 1000031/ 
1000264/ materia 264/ 1/ LE/ 3/ 1000061/ 
1000265/ materia 265/ 3/ LE/ 3/ 1000096/ 
1000266/ materia 266/ 4/ LE/ 3/ 1000022/ 
1000267/ materia 267/ 3/ LE/ 3/ 1000199/ 
1000268/ materia 268/ 5/ LE/ 3/ 1000266/ 
1000269/ materia 269/ 5/ LE/ 3/ 1000009/ 
1000270/ materia 270/ 2/ LE/ 3/ 1000128/ 
1000271/ materia 271/ 5/ LE/ 3/ 1000134/ 
1000272/ materia 272/ 1/ LE/ 3/ 1000161/ 
1000273/ materia 273/ 1/ LE/ 3/ 1000080/ 
1000274/ materia 274/ 5/ LE/ 3/ 1000127/ 
1000275/ materia 275/ 2/ LE/ 3/ 1000038/ 
1000276/ materia 276/ 4/ LE/ 3/ 1000009/ 
1000277/ materia 277/ 3/ LE/ 3/ 1000042/ 
1000278/ materia 278/ 2/ LE/ 3/ 1000025/ 
1000279/ materia 279/ 5/ LE/ 3/ 1000009/ 
1000280/ materia 280/ 3/ LE/ 3/ 1000146/ 
1000281/ materia 281/ 1/ LE/ 3/ 1000122/ 
1000282/ materia 282/ 2/ LE/ 3/ 1000237/ 
1000283/ materia 283/ 3/ LE/ 3/ 1000173/ 
1000284/ materia 284/ 2/ LE/ 3/ 1000272/ 
1000285/ materia 285/ 4/ LE/ 3/ 1000087/ 
1000286/ materia 286/ 1/ LE/ 3/ 1000048/ 
1000287/ materia 287/ 3/ LE/ 3/ 1000255/ 
1000288/ materia 288/ 4/ LE/ 3/ 1000131/ 
1000289/ materia 289/ 3/ LE/ 3/ 1000218/ 
1000290/ materia 290/ 5/ LE/ 3/ 1000281/ 
1000291/ materia 291/ 4/ LE/ 3/ 1000278/ 
1000292/ materia 292/ 5/ LE/ 3/ 1000241/ 
1000293/ materia 293/ 3/ LE/ 3/ 1000029/ 
1000294/ materia 294/ 4/ LE/ 3/ 1000028/ 
1000295/ materia 295/ 1/ LE/ 3/ 1000141/ 
1000296/ materia 296/ 3/ LE/ 3/ 1000025/ 
1000297/ materia 297/ 1/ LE/ 3/ 1000142/ 
1000298/ materia 298/ 2/ LE/ 3/ 1000253/ 
1000299/ materia 299/ 1/ LE/ 3/ 1000061/ 
1000300/ materia 300/ 4/ LE/ 3/ 1000287/ 
1000301/ materia 301/ 4/ LE/ 4/ 1000112/ 
1000302/ materia 302/ 4/ LE/ 4/ 1000149/ 
1000303/ materia 303/ 3/ LE/ 4/ 1000138/ 
1000304/ materia 304/ 5/ LE/ 4/ 1000108/ 
1000305/ materia 305/ 1/ LE/ 4/ 1000024/ 
1000306/ materia 306/ 4/ LE/ 4/ 1000226/ 
1000307/ materia 307/ 4/ LE/ 4/ 1000197/ 
1000308/ materia 308/ 4/ LE/ 4/ 1000281/ 
1000309/ materia 309/ 5/ LE/ 4/ 1000070/ 
1000310/ materia 310/ 4/ LE/ 4/ 1000076/ 
1000311/ materia 311/ 1/ LE/ 4/ 1000229/ 
1000312/ materia 312/ 2/ LE/ 4/ 1000142/ 
1000313/ materia 313/ 5/ LE/ 4/ 1000086/ 
1000314/ materia 314/ 1/ LE/ 4/ 1000043/ 
1000315/ materia 315/ 1/ LE/ 4/ 1000253/ 
1000316/ materia 316/ 2/ LE/ 4/ 1000163/ 
1000317/ materia 317/ 2/ LE/ 4/ 1000003/ 
1000318/ materia 318/ 5/ LE/ 4/ 1000153/ 
1000319/ materia 319/ 4/ LE/ 4/ 1000152/ 
1000320/ materia 320/ 1/ LE/ 4/ 1000265/ 
1000321/ materia 321/ 2/ LE/ 4/ 1000014/ 
1000322/ materia 322/ 4/ LE/ 4/ 1000258/ 
1000323/ materia 323/ 5/ LE/ 4/ 1000153/ 
1000324/ materia 324/ 2/ LE/ 4/ 1000269/ 
1000325/ materia 325/ 5/ LE/ 4/ 1000104/ 
1000326/ materia 326/ 2/ LE/ 4/ 1000187/ 
1000327/ materia 327/ 5/ LE/ 4/ 1000028/ 
1000328/ materia 328/ 2/ LE/ 4/ 1000054/ 
1000329/ materia 329/ 5/ LE/ 4/ 1000200/ 
1000330/ materia 330/ 4/ LE/ 4/ 1000242/ 
1000331/ materia 331/ 2/ LE/ 4/ 1000228/ 
1000332/ materia 332/ 3/ LE/ 4/ 1000058/ 
1000333/ materia 333/ 5/ LE/ 4/ 1000001/ 
1000334/ materia 334/ 2/ LE/ 4/ 1000053/ 
1000335/ materia 335/ 1/ LE/ 4/ 1000077/ 
1000336/ materia 336/ 3/ LE/ 4/ 1000136/ 
1000337/ materia 337/ 2/ LE/ 4/ 1000147/ 
1000338/ materia 338/ 4/ LE/ 4/ 1000064/ 
1000339/ materia 339/ 3/ LE/ 4/ 1000249/ 
1000340/ materia 340/ 5/ LE/ 4/ 1000037/ 
1000341/ materia 341/ 2/ LE/ 4/ 1000054/ 
1000342/ materia 342/ 4/ LE/ 4/ 1000038/ 
1000343/ materia 343/ 2/ LE/ 4/ 1000279/ 
1000344/ materia 344/ 2/ LE/ 4/ 1000255/ 
1000345/ materia 345/ 4/ LE/ 4/ 1000088/ 
1000346/ materia 346/ 3/ LE/ 4/ 1000232/ 
1000347/ materia 347/ 5/ LE/ 4/ 1000050/ 
1000348/ materia 348/ 1/ LE/ 4/ 1000159/ 
1000349/ materia 349/ 4/ LE/ 4/ 1000047/ 
1000350/ materia 350/ 3/ LE/ 4/ 1000197/ 
1000351/ materia 351/ 3/ LE/ 4/ 1000350/ 
1000352/ materia 352/ 5/ LE/ 4/ 1000217/ 
1000353/ materia 353/ 4/ LE/ 4/ 1000012/ 
1000354/ materia 354/ 2/ LE/ 4/ 1000330/ 
1000355/ materia 355/ 1/ LE/ 4/ 1000251/ 
1000356/ materia 356/ 3/ LE/ 4/ 1000100/ 
1000357/ materia 357/ 1/ LE/ 4/ 1000187/ 
1000358/ materia 358/ 5/ LE/ 4/ 1000318/ 
1000359/ materia 359/ 2/ LE/ 4/ 1000069/ 
1000360/ materia 360/ 3/ LE/ 4/ 1000259/ 
1000361/ materia 361/ 3/ LE/ 4/ 1000360/ 
1000362/ materia 362/ 3/ LE/ 4/ 1000355/ 
1000363/ materia 363/ 3/ LE/ 4/ 1000164/ 
1000364/ materia 364/ 2/ LE/ 4/ 1000327/ 
1000365/ materia 365/ 2/ LE/ 4/ 1000066/ 
1000366/ materia 366/ 2/ LE/ 4/ 1000263/ 
1000367/ materia 367/ 5/ LE/ 4/ 1000022/ 
1000368/ materia 368/ 4/ LE/ 4/ 1000365/ 
1000369/ materia 369/ 5/ LE/ 4/ 1000229/ 
1000370/ materia 370/ 2/ LE/ 4/ 1000024/ 
1000371/ materia 371/ 5/ LE/ 4/ 1000248/ 
1000372/ materia 372/ 3/ LE/ 4/ 1000325/ 
1000373/ materia 373/ 5/ LE/ 4/ 1000074/ 
1000374/ materia 374/ 2/ LE/ 4/ 1000350/ 
1000375/ materia 375/ 4/ LE/ 4/ 1000191/ 
1000376/ materia 376/ 1/ LE/ 4/ 1000235/ 
1000377/ materia 377/ 4/ LE/ 4/ 1000234/ 
1000378/ materia 378/ 5/ LE/ 4/ 1000262/ 
1000379/ materia 379/ 1/ LE/ 4/ 1000338/ 
1000380/ materia 380/ 3/ LE/ 4/ 1000010/ 
1000381/ materia 381/ 2/ LE/ 4/ 1000352/ 
1000382/ materia 382/ 1/ LE/ 4/ 1000254/ 
1000383/ materia 383/ 1/ LE/ 4/ 1000269/ 
1000384/ materia 384/ 1/ LE/ 4/ 1000024/ 
1000385/ materia 385/ 2/ LE/ 4/ 1000375/ 
1000386/ materia 386/ 1/ LE/ 4/ 1000239/ 
1000387/ materia 387/ 4/ LE/ 4/ 1000350/ 
1000388/ materia 388/ 5/ LE/ 4/ 1000164/ 
1000389/ materia 389/ 1/ LE/ 4/ 1000373/ 
1000390/ materia 390/ 5/ LE/ 4/ 1000111/ 
1000391/ materia 391/ 2/ LE/ 4/ 1000018/ 
1000392/ materia 392/ 3/ LE/ 4/ 1000390/ 
1000393/ materia 393/ 4/ LE/ 4/ 1000355/ 
1000394/ materia 394/ 3/ LE/ 4/ 1000332/ 
1000395/ materia 395/ 5/ LE/ 4/ 1000294/ 
1000396/ materia 396/ 4/ LE/ 4/ 1000149/ 
1000397/ materia 397/ 4/ LE/ 4/ 1000060/ 
1000398/ materia 398/ 5/ LE/ 4/ 1000169/ 
1000399/ materia 399/ 2/ LE/ 4/ 1000080/ 
1000400/ materia 400/ 1/ LE/ 4/ 1000145/ 
1000401/ materia 401/ 1/ LE/ 5/ 1000352/ 
1000402/ materia 402/ 4/ LE/ 5/ 1000249/ 
1000403/ materia 403/ 3/ LE/ 5/ 1000280/ 
1000404/ materia 404/ 5/ LE/ 5/ 1000184/ 
1000405/ materia 405/ 1/ LE/ 5/ 1000240/ 
1000406/ materia 406/ 5/ LE/ 5/ 1000392/ 
1000407/ materia 407/ 2/ LE/ 5/ 1000033/ 
1000408/ materia 408/ 3/ LE/ 5/ 1000146/ 
1000409/ materia 409/ 1/ LE/ 5/ 1000256/ 
1000410/ materia 410/ 2/ LE/ 5/ 1000187/ 
1000411/ materia 411/ 2/ LE/ 5/ 1000120/ 
1000412/ materia 412/ 5/ LE/ 5/ 1000196/ 
1000413/ materia 413/ 1/ LE/ 5/ 1000263/ 
1000414/ materia 414/ 1/ LE/ 5/ 1000015/ 
1000415/ materia 415/ 1/ LE/ 5/ 1000349/ 
1000416/ materia 416/ 1/ LE/ 5/ 1000175/ 
1000417/ materia 417/ 1/ LE/ 5/ 1000048/ 
1000418/ materia 418/ 3/ LE/ 5/ 1000044/ 
1000419/ materia 419/ 5/ LE/ 5/ 1000134/ 
1000420/ materia 420/ 3/ LE/ 5/ 1000212/ 
1000421/ materia 421/ 2/ LE/ 5/ 1000369/ 
1000422/ materia 422/ 2/ LE/ 5/ 1000006/ 
1000423/ materia 423/ 3/ LE/ 5/ 1000379/ 
1000424/ materia 424/ 3/ LE/ 5/ 1000104/ 
1000425/ materia 425/ 1/ LE/ 5/ 1000242/ 
1000426/ materia 426/ 3/ LE/ 5/ 1000242/ 
1000427/ materia 427/ 3/ LE/ 5/ 1000348/ 
1000428/ materia 428/ 4/ LE/ 5/ 1000368/ 
1000429/ materia 429/ 5/ LE/ 5/ 1000070/ 
1000430/ materia 430/ 2/ LE/ 5/ 1000227/ 
1000431/ materia 431/ 3/ LE/ 5/ 1000389/ 
1000432/ materia 432/ 5/ LE/ 5/ 1000333/ 
1000433/ materia 433/ 2/ LE/ 5/ 1000200/ 
1000434/ materia 434/ 1/ LE/ 5/ 1000044/ 
1000435/ materia 435/ 2/ LE/ 5/ 1000027/ 
1000436/ materia 436/ 1/ LE/ 5/ 1000045/ 
1000437/ materia 437/ 1/ LE/ 5/ 1000260/ 
1000438/ materia 438/ 4/ LE/ 5/ 1000200/ 
1000439/ materia 439/ 4/ LE/ 5/ 1000339/ 
1000440/ materia 440/ 3/ LE/ 5/ 1000083/ 
1000441/ materia 441/ 1/ LE/ 5/ 1000228/ 
1000442/ materia 442/ 5/ LE/ 5/ 1000092/ 
1000443/ materia 443/ 3/ LE/ 5/ 1000264/ 
1000444/ materia 444/ 4/ LE/ 5/ 1000025/ 
1000445/ materia 445/ 3/ LE/ 5/ 1000229/ 
1000446/ materia 446/ 3/ LE/ 5/ 1000414/ 
1000447/ materia 447/ 3/ LE/ 5/ 1000298/ 
1000448/ materia 448/ 5/ LE/ 5/ 1000422/ 
1000449/ materia 449/ 2/ LE/ 5/ 1000316/ 
1000450/ materia 450/ 2/ LE/ 5/ 1000289/ 
1000451/ materia 451/ 1/ LE/ 5/ 1000090/ 
1000452/ materia 452/ 5/ LE/ 5/ 1000353/ 
1000453/ materia 453/ 5/ LE/ 5/ 1000238/ 
1000454/ materia 454/ 4/ LE/ 5/ 1000148/ 
1000455/ materia 455/ 4/ LE/ 5/ 1000452/ 
1000456/ materia 456/ 4/ LE/ 5/ 1000328/ 
1000457/ materia 457/ 4/ LE/ 5/ 1000114/ 
1000458/ materia 458/ 2/ LE/ 5/ 1000187/ 
1000459/ materia 459/ 5/ LE/ 5/ 1000419/ 
1000460/ materia 460/ 3/ LE/ 5/ 1000275/ 
1000461/ materia 461/ 3/ LE/ 5/ 1000217/ 
1000462/ materia 462/ 5/ LE/ 5/ 1000126/ 
1000463/ materia 463/ 5/ LE/ 5/ 1000191/ 
1000464/ materia 464/ 1/ LE/ 5/ 1000216/ 
1000465/ materia 465/ 3/ LE/ 5/ 1000289/ 
